dataset,file,path,rows,row_groups,size_mb
fhv,fhv_tripdata_2024-05.parquet,..\data\raw\fhv\fhv_tripdata_2024-05.parquet,1352502,2,15.22
fhv,fhv_tripdata_2024-06.parquet,..\data\raw\fhv\fhv_tripdata_2024-06.parquet,1386539,2,15.29
fhv,fhv_tripdata_2024-07.parquet,..\data\raw\fhv\fhv_tripdata_2024-07.parquet,1382739,2,15.22
fhv,fhv_tripdata_2024-08.parquet,..\data\raw\fhv\fhv_tripdata_2024-08.parquet,1484471,2,16.11
fhv,fhv_tripdata_2024-09.parquet,..\data\raw\fhv\fhv_tripdata_2024-09.parquet,1718375,2,18.26
fhv,fhv_tripdata_2024-10.parquet,..\data\raw\fhv\fhv_tripdata_2024-10.parquet,1421231,2,15.79
fhv,fhv_tripdata_2024-11.parquet,..\data\raw\fhv\fhv_tripdata_2024-11.parquet,1591082,2,17.28
fhv,fhv_tripdata_2024-12.parquet,..\data\raw\fhv\fhv_tripdata_2024-12.parquet,1913200,2,19.72
fhv,fhv_tripdata_2025-01.parquet,..\data\raw\fhv\fhv_tripdata_2025-01.parquet,1898108,2,19.63
fhv,fhv_tripdata_2025-02.parquet,..\data\raw\fhv\fhv_tripdata_2025-02.parquet,1578722,2,16.5
fhv,fhv_tripdata_2025-03.parquet,..\data\raw\fhv\fhv_tripdata_2025-03.parquet,2182992,3,21.95
fhv,fhv_tripdata_2025-04.parquet,..\data\raw\fhv\fhv_tripdata_2025-04.parquet,1699478,2,18.09
fhv,fhv_tripdata_2025-05.parquet,..\data\raw\fhv\fhv_tripdata_2025-05.parquet,2210721,3,23.05
fhv,fhv_tripdata_2025-06.parquet,..\data\raw\fhv\fhv_tripdata_2025-06.parquet,2231731,3,23.17
fhv,fhv_tripdata_2025-07.parquet,..\data\raw\fhv\fhv_tripdata_2025-07.parquet,2187536,3,22.77
fhv,fhv_tripdata_2025-08.parquet,..\data\raw\fhv\fhv_tripdata_2025-08.parquet,2256854,3,23.26
fhv,fhv_tripdata_2025-09.parquet,..\data\raw\fhv\fhv_tripdata_2025-09.parquet,2149292,3,22.07
fhv,fhv_tripdata_2025-10.parquet,..\data\raw\fhv\fhv_tripdata_2025-10.parquet,2446615,3,25.09
fhv,fhv_tripdata_2025-11.parquet,..\data\raw\fhv\fhv_tripdata_2025-11.parquet,2278604,3,23.92
fhv,fhv_tripdata_2025-12.parquet,..\data\raw\fhv\fhv_tripdata_2025-12.parquet,1926891,2,20.38
fhv,fhv_tripdata_2026-01.parquet,..\data\raw\fhv\fhv_tripdata_2026-01.parquet,1941722,2,20.57
fhvhv,fhvhv_tripdata_2024-05.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-05.parquet,20704538,20,475.48
fhvhv,fhvhv_tripdata_2024-06.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-06.parquet,20123226,20,461.98
fhvhv,fhvhv_tripdata_2024-07.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-07.parquet,19182934,19,446.74
fhvhv,fhvhv_tripdata_2024-08.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-08.parquet,19128392,19,444.4
fhvhv,fhvhv_tripdata_2024-09.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-09.parquet,19209788,19,444.86
fhvhv,fhvhv_tripdata_2024-10.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-10.parquet,20028282,20,462.63
fhvhv,fhvhv_tripdata_2024-11.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-11.parquet,19987533,20,457.98
fhvhv,fhvhv_tripdata_2024-12.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2024-12.parquet,21068851,21,484.02
fhvhv,fhvhv_tripdata_2025-01.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-01.parquet,20405666,20,468.33
fhvhv,fhvhv_tripdata_2025-02.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-02.parquet,19339461,19,440.25
fhvhv,fhvhv_tripdata_2025-03.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-03.parquet,20536879,20,478.54
fhvhv,fhvhv_tripdata_2025-04.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-04.parquet,19753983,19,464.65
fhvhv,fhvhv_tripdata_2025-05.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-05.parquet,21091193,21,493.42
fhvhv,fhvhv_tripdata_2025-06.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-06.parquet,19868009,19,468.08
fhvhv,fhvhv_tripdata_2025-07.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-07.parquet,19653012,19,464.65
fhvhv,fhvhv_tripdata_2025-08.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-08.parquet,19271461,19,457.36
fhvhv,fhvhv_tripdata_2025-09.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-09.parquet,19434641,19,458.58
fhvhv,fhvhv_tripdata_2025-10.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-10.parquet,21308701,21,494.47
fhvhv,fhvhv_tripdata_2025-11.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-11.parquet,20818240,20,483.98
fhvhv,fhvhv_tripdata_2025-12.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2025-12.parquet,22108438,22,510.94
fhvhv,fhvhv_tripdata_2026-01.parquet,..\data\raw\fhvhv\fhvhv_tripdata_2026-01.parquet,20940373,20,482.43
green,green_tripdata_2024-05.parquet,..\data\raw\green\green_tripdata_2024-05.parquet,61003,1,1.39
green,green_tripdata_2024-06.parquet,..\data\raw\green\green_tripdata_2024-06.parquet,54748,1,1.26
green,green_tripdata_2024-07.parquet,..\data\raw\green\green_tripdata_2024-07.parquet,51837,1,1.19
green,green_tripdata_2024-08.parquet,..\data\raw\green\green_tripdata_2024-08.parquet,51771,1,1.21
green,green_tripdata_2024-09.parquet,..\data\raw\green\green_tripdata_2024-09.parquet,54440,1,1.26
green,green_tripdata_2024-10.parquet,..\data\raw\green\green_tripdata_2024-10.parquet,56147,1,1.29
green,green_tripdata_2024-11.parquet,..\data\raw\green\green_tripdata_2024-11.parquet,52222,1,1.21
green,green_tripdata_2024-12.parquet,..\data\raw\green\green_tripdata_2024-12.parquet,53994,1,1.25
