dataset,file,rows,columns,numeric_columns,datetime_columns,categorical_columns,column_names
fhv,fhv_tripdata_2024-05.parquet,1352502,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-06.parquet,1386539,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-07.parquet,1382739,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-08.parquet,1484471,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-09.parquet,1718375,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-10.parquet,1421231,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-11.parquet,1591082,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2024-12.parquet,1913200,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2025-01.parquet,1898108,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2025-02.parquet,1578722,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2025-03.parquet,2182992,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
fhv,fhv_tripdata_2025-04.parquet,1699478,7,3,2,2,"dispatching_base_num, pickup_datetime, dropOff_datetime, PUlocationID, DOlocationID, SR_Flag, Affiliated_base_number"
